;artista;musica;letra;selecionado
0;Roberto Carlos;Nossa Senhora;"Cubra-me com seu manto de amor
Guarda-me na paz desse olhar
Cura-me as feridas e a dor me faz suportar
Que as pedras do meu caminho
Meus pés suportem pisar
Mesmo ferido de espinhos me ajude a passar

Se ficaram mágoas em mim
Mãe tira do meu coração
E aqueles que eu fiz sofrer peço perdão
Se eu curvar meu corpo na dor
Me alivia o peso da cruz
Interceda por mim minha mãe junto a Jesus

Nossa Senhora me dê a mão
Cuida do meu coração
Da minha vida do meu destino

Nossa Senhora me dê a mão
Cuida do meu coração
Da minha vida do meu destino
Do meu caminho
Cuida de mim

Sempre que o meu pranto rolar
Ponha sobre mim suas mãos
Aumenta minha fé e acalma o meu coração
Grande é a procissão a pedir
A misericórdia o perdão
A cura do corpo e pra alma a salvação

Pobres pecadores oh mãe
Tão necessitados de vós
Santa Mãe de Deus tem piedade de nós
De joelhos aos vossos pés
Estendei a nós vossas mãos
Rogai por todos nós vossos filhos meus irmãos


Nossa Senhora me dê a mão
Cuida do meu coração
Da minha vida do Meu destino

Nossa Senhora me dê a mão
Cuida do meu coração
Da minha vida do Meu destino
Do meu caminho
Cuida de mim

Nossa Senhora me dê a mão
Cuida do meu coração
Da minha vida do Meu destino

Nossa Senhora me dê a mão
Cuida do meu coração
Da minha vida do Meu destino
Do meu caminho
Cuida de mim";1
1;Roberto Carlos;Amor Sem Limite;"Quando a gente ama alguém de verdade
Esse amor não se esquece
O tempo passa, tudo passa, mas no peito
O amor permanece
E qualquer minuto longe é demais
A saudade atormenta
Mas qualquer minuto perto é bom demais
o amor só aumenta

Vivo por ela
Ninguém duvida
Porque ela é tudo
Na minha vida

Eu nunca imaginei que houvesse no mundo
Um amor desse jeito
Do tipo que quando se tem não se sabe
Se cabe no peito

Mas eu posso dizer que sei o que é ter
Um amor de verdade
E um amor assim eu sei que é pra sempre
É pra eternidade

Vivo por ela
Ninguém duvida
Porque ela é tudo 
Na minha vida

Quem ama não esquece quem ama
O amor é assim 
Eu tenho esquecido de mim
Mas d'ela eu nunca me esqueço

Por ela esse amor infinito
O amor mais bonito
É assim nosso amor sem limite
O maior e mais forte que existe

Vivo por ela
Ninguém duvida
Porque ela é tudo 
Na minha vida

Quem ama não esquece quem ama
O amor é assim 
Eu tenho esquecido de mim
Mas d'ela eu nunca me esqueço

Por ela esse amor infinito
O amor mais bonito
É assim nosso amor sem limite
O maior e mais forte que existe

Vivo por ela
Ninguém duvida
Porque ela é tudo 
Na minha vida";1
2;Roberto Carlos;Como É Grande O Meu Amor Por Você;"Eu tenho tanto pra lhe falar
Mas com palavras não sei dizer
Como é grande o meu amor por você
E não ha nada pra comparar
Para poder lhe explicar
Como é grande o meu amor por você

Nem mesmo o céu, nem as estrelas
Nem mesmo o mar e o infinito
Não é maior que o meu amor, nem mais bonito

Me desespero a procurar
Alguma forma de lhe falar
Como é grande o meu amor por você

Nunca se esqueça nem um segundo
Que eu tenho o amor maior do mundo
Como é grande o meu amor por você



Mas como é grande o meu amor por você";1
3;Roberto Carlos;Amigo;"Você meu amigo de fé, meu irmão camarada
Amigo de tantos caminhos e tantas jornadas
Cabeça de homem mas o coração de menino
Aquele que está do meu lado em qualquer caminhada
Me lembro de todas as lutas, meu bom companheiro
Você tantas vezes provou que é um grande guerreiro
O seu coração é uma casa de portas abertas
Amigo você é o mais certo das horas incertas

Às vezes em certos momentos difíceis da vida
Em que precisamos de alguém pra ajudar na saída
A sua palavra de força, de fé e de carinho
Me dá a certeza de que eu nunca estive sozinho

Você meu amigo de fé, meu irmão camarada
Sorriso e abraço festivo da minha chegada
Você que me diz as verdades com frases abertas
Amigo você é o mais certo das horas incertas

Não preciso nem dizer 
Tudo isso que eu lhe digo
Mas é muito bom saber
Que você é meu amigo

Não preciso nem dizer 
Tudo isso que eu lhe digo
Mas é muito bom saber 
Que eu tenho um grande amigo

Não preciso nem dizer
Tudo isso que eu lhe digo
Mas é muito bom saber
Que você é meu amigo

Não preciso nem dizer
Tudo isso que eu lhe digo
Mas é muito bom saber
Que eu tenho um grande amigo";1
4;Roberto Carlos;Emoções;"Quando eu estou aqui
Eu vivo esse momento lindo
Olhando pra você
E as mesmas emoções sentindo
São tantas já vividas
São momentos que eu não esqueci
Detalhes de uma vida
Histórias que eu contei aqui

Amigos eu ganhei
Saudades eu senti, partindo
E às vezes eu deixei
Você me ver chorar, sorrindo

Sei tudo que o amor
É capaz de me dar
Eu sei já sofri
Mas não deixo de amar

Se chorei
Ou se sorri
O importante
É que emoções eu vivi

São tantas já vividas
São momentos que eu não esqueci
Detalhes de uma vida
Histórias que eu contei aqui

Mas eu estou aqui
Vivendo esse momento lindo
De frente pra você
E as emoções se repetindo

Em paz com a vida
E o que ela me traz
Na fé que me faz
Otimista demais

Se chorei
Ou se sorri
O importante
É que emoções eu vivi

Se chorei
Ou se sorri
O importante
É que emoções eu vivi";1
5;Roberto Carlos;Lady Laura;"Tenho às vezes vontade de ser
Novamente um menino
E na hora do meu desespero
Gritar por você
Te pedir que me abrace
E me leve de volta pra casa
Que me conte uma história bonita
E me faça dormir

Só queria ouvir sua voz.
Me dizendo sorrindo:
Aproveite o seu tempo
Você ainda é um menino

Apesar da distância e do tempo
Eu não posso esconder
Tudo isso eu às vezes preciso
Escutar de você

Lady Laura, me leve pra casa
Lady Laura, me conte uma história
Lady Laura, me faça dormir
Lady Laura

Lady Laura, me leve pra casa
Lady Laura, me abrace forte
Lady Laura, me beije outra vez
Lady Laura

Quantas vezes me sinto perdido
No meio da noite
Com problemas e angústias
Que só gente grande é que tem

Me afagando os cabelos
Você certamente diria:
Amanhã de manhã
Você vai se sair muito bem

Quando eu era criança
Podia chorar nos seus braços
E ouvir tanta coisa bonita
Na minha aflição

Nos momentos alegres
Sentado ao seu lado sorria
E nas horas difíceis podia
Apertar sua mão

Lady Laura, me leve pra casa
Lady Laura, me conte uma história
Lady Laura, me faça dormir
Lady Laura

Lady Laura, me leve pra casa
Lady Laura, me abrace forte
Lady Laura, me beije outra vez
Lady Laura

Tenho às vezes vontade
De ser novamente um menino
Muito embora você sempre ache
Que eu ainda sou

Toda vez que te abraço
E te beijo sem nada dizer
Você diz tudo que eu preciso
Escutar de você

Lady Laura, me leve pra casa
Lady Laura, me conte uma história
Lady Laura, me faça dormir
Lady Laura

Lady Laura, me abrace forte
Lady Laura, me faça dormir
Lady Laura, me beije outra vez
Lady Laura

Lady Laura, Lady Laura, Lady Laura
Lady Laura, Lady, Lady, Lady Laura, Lady Laura";1
6;Roberto Carlos;Detalhes;"Não adianta nem tentar me esquecer
Durante muito tempo em sua vida eu vou viver

Detalhes tão pequenos de nós dois
São coisas muito grandes pra esquecer
E a toda hora vão estar presentes
Você vai ver

Se um outro cabeludo aparecer na sua rua
E isso lhe trouxer saudades minhas, a culpa é sua
O ronco barulhento do seu carro
A velha calça desbotada ou coisa assim
Imediatamente você vai lembrar de mim

Eu sei que um outro deve estar falando ao seu ouvido
Palavras de amor como eu falei, mas, eu duvido
Duvido que ele tenha tanto amor
E até os erros do meu português ruim
E nessa hora você vai lembrar de mim

À noite, envolvida no silêncio do seu quarto,
Antes de dormir você procura o meu retrato
Mas na moldura não sou eu quem lhe sorri
Mas você vê o meu sorriso mesmo assim
E tudo isso vai fazer você lembrar de mim

Se alguém tocar seu corpo como eu, não diga nada
Não vá dizer meu nome sem querer à pessoa errada
Pensando ter amor nesse momento, desesperada, 
Você tenta até o fim
E até nesse momento você vai lembrar de mim

Eu sei que esses detalhes vão sumir na longa estrada
Do tempo que transforma todo amor em quase nada
Mas quase também é mais um detalhe
Um grande amor não vai morrer assim
Por isso, de vez em quando você vai
Vai lembrar de mim

Não adianta nem tentar me esquecer
Durante muito e muito tempo em sua vida eu vou viver";1
7;Roberto Carlos;Outra Vez;"Você foi o maior dos meus casos 
De todos os abraços 
O que eu nunca esqueci 
Você foi, dos amores que eu tive 
O mais complicado e o mais simples pra mim 

Você foi o melhor dos meus erros 
A mais estranha história 
Que alguém já escreveu 
E é por essas e outras 
Que a minha saudade faz lembrar 
De tudo outra vez.... 

Você foi 
A mentira sincera 
Brincadeira mais séria que me aconteceu 
Você foi 
O caso mais antigo 
O amor mais amigo que me apareceu 

Das lembranças que eu trago na vida 
Você é a saudade que eu gosto de ter 
Só assim sinto você bem perto de mim 
Outra vez 
        
Esqueci de tentar te esquecer 
Resolvi te querer por querer 
Decidi te lembrar quantas vezes eu tenha vontade 
Sem nada perder 
     
Você foi 
Toda a felicidade 
Você foi a maldade que só me fez bem 
Você foi 
O melhor dos meus planos 
E o maior dos enganos que eu pude fazer 
 
Das lembranças que eu trago na vida 
Você é a saudade que eu gosto de ter 
Só assim sinto você bem perto de mim

Outra vez";1
8;Roberto Carlos;Cama E Mesa;"Eu quero ser sua canção, eu quero ser seu tom
Me esfregar na sua boca, ser o seu batom
O sabonete que te alisa embaixo do chuveiro
A toalha que desliza no seu corpo inteiro
Eu quero ser seu travesseiro e ter a noite inteira
Pra te beijar durante o tempo que você dormir
Eu quero ser o sol que entra no seu quarto adentro
Te acordar devagarinho, te fazer sorrir

Quero estar na maciez do toque dos seus dedos
E entrar na intimidade desses seus segredos
Quero ser a coisa boa, liberada ou proibida
Tudo em sua vida

Eu quero que você me dê o que você quiser
Quero te dar tudo que um homem dá pra uma mulher
E além de todo esse carinho que você me faz
Fico imaginando coisas, quero sempre mais

Você é o doce que eu mais gosto
Meu café completo, a bebida preferida e o prato predileto
Eu como e bebo do melhor e não tenho hora certa
De manhã, de tarde, à noite, não faço dieta

Esse amor que alimenta minha fantasia
É meu sonho, minha festa, é minha alegria
A comida mais gostosa, o perfume e a bebida
Tudo em minha vida

Todo homem que sabe o que quer
Sabe dar e querer da mulher
O melhor e fazer desse amor
O que come, o que bebe, o que dá e recebe

Mas o homem que sabe o que quer
E se apaixona por uma mulher
Ele faz desse amor sua vida
A comida, a bebida, na justa medida

O homem que sabe o que quer
Sabe dar e querer da mulher
O melhor e fazer desse amor
O que come, o que bebe, o que dá e recebe

Mas o homem que sabe o que quer
Sabe dar e querer da mulher
O melhor e fazer desse amor
O que come, o que bebe, o que dá e recebe

Mas o homem que sabe o que quer
E se apaixona por uma mulher
Ele faz desse amor sua vida
A comida, a bebida, na justa medida";1
9;Roberto Carlos;Luz Divina;"Luz que me ilumina o caminho
E que me ajuda a seguir
Sol que brilha à noite, a qualquer hora, me fazendo sorrir
Claridade, fonte de amor que me acalma e seduz
Essa Luz só pode ser Jesus, essa Luz
Raio duradouro que orienta
O navegante perdido
Força dos humildes, dos aflitos, paz dos arrependidos
Brilho das estrelas do universo, o seu olhar me conduz
Essa Luz, é claro que é Jesus, essa Luz

Sigo em paz no caminho
Da vida porque
O caminho, a verdade, a vida é você
Por isso eu te sigo
Jesus, meu amigo

Quero caminhar do seu lado e segurar sua mão
Mão que me abençoa e me perdoa
E afaga o meu coração
Estrela que nos guia, Luz Divina, o seu amor nos conduz
Essa Luz, é claro que é Jesus, essa Luz

Luz que me ilumina o caminho
E que me ajuda a seguir
Sol que brilha à noite, a qualquer hora, me fazendo sorrir
Claridade, fonte de amor que me acalma e seduz
Essa Luz, é claro que é Jesus, essa Luz é claro que é Jesus 

Essa Luz, só pode ser Jesus, só pode ser Jesus

Essa Luz, só pode ser Jesus, só pode ser Jesus

Essa Luz, é claro que é Jesus, essa Luz Divina

Essa Luz, essa Luz, essa Luz, essa Luz, é claro que é Jesus

É Jesus, é Jesus

Essa Luz, Luz Divina, é claro que é Jesus

É claro que é Jesus

Essa Luz, essa Luz, é claro que é Jesus

Essa Luz";1
